Time,Temperature,Dew_point,Humidity,Wind,Wind speed,Wind gust,Pressure,Precip,Condition,Day,Month,Year
2:50 pm,73 °F,48 °F,41%,E,12 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
3:50 pm,73 °F,48 °F,41%,E,9 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
4:50 pm,72 °F,48 °F,43%,VAR,2 mph,0 mph,30.00 in,0.0 in,Fair,4,1,2021
5:50 pm,70 °F,48 °F,46%,SSE,5 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
6:50 pm,68 °F,48 °F,49%,SSE,6 mph,0 mph,30.00 in,0.0 in,Fair,4,1,2021
7:50 pm,68 °F,46 °F,46%,SE,7 mph,0 mph,30.00 in,0.0 in,Fair,4,1,2021
7:00 am,63 °F,46 °F,55%,SE,13 mph,0 mph,30.00 in,0.0 in,Fair,5,1,2021
7:50 am,63 °F,46 °F,55%,SE,15 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
8:50 am,64 °F,46 °F,52%,SE,13 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
9:50 am,66 °F,46 °F,49%,ESE,18 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
10:50 am,70 °F,46 °F,43%,E,15 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
11:50 am,70 °F,48 °F,46%,ESE,17 mph,0 mph,30.00 in,0.0 in,Fair,5,1,2021
12:50 pm,72 °F,48 °F,43%,ESE,15 mph,0 mph,29.97 in,0.0 in,Fair,5,1,2021
1:50 pm,72 °F,48 °F,43%,E,16 mph,0 mph,29.97 in,0.0 in,Fair,5,1,2021
2:50 pm,73 °F,48 °F,41%,E,13 mph,0 mph,29.97 in,0.0 in,Fair,5,1,2021
3:50 pm,73 °F,48 °F,41%,E,9 mph,0 mph,30.00 in,0.0 in,Fair,5,1,2021
4:50 pm,72 °F,48 °F,43%,SE,7 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
5:50 pm,70 °F,50 °F,49%,ESE,6 mph,0 mph,30.03 in,0.0 in,Fair,5,1,2021
6:50 pm,70 °F,48 °F,46%,SE,6 mph,0 mph,30.06 in,0.0 in,Fair,5,1,2021
7:50 pm,68 °F,48 °F,49%,SE,6 mph,0 mph,30.06 in,0.0 in,Fair,5,1,2021
7:00 am,63 °F,46 °F,55%,SSE,10 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
7:50 am,63 °F,46 °F,55%,SSE,12 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
8:50 am,64 °F,48 °F,56%,SSE,10 mph,0 mph,30.15 in,0.0 in,Fair,6,1,2021
9:50 am,66 °F,48 °F,52%,SE,13 mph,0 mph,30.15 in,0.0 in,Fair,6,1,2021
10:50 am,68 °F,46 °F,46%,ESE,13 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
11:50 am,70 °F,46 °F,43%,ESE,13 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
12:50 pm,73 °F,48 °F,41%,ESE,10 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
1:50 pm,73 °F,46 °F,38%,ESE,12 mph,0 mph,30.09 in,0.0 in,Fair,6,1,2021
2:50 pm,75 °F,46 °F,36%,ESE,10 mph,0 mph,30.09 in,0.0 in,Fair,6,1,2021
3:50 pm,73 °F,46 °F,38%,E,9 mph,0 mph,30.09 in,0.0 in,Fair,6,1,2021
4:50 pm,72 °F,48 °F,43%,ESE,7 mph,0 mph,30.09 in,0.0 in,Fair,6,1,2021
5:50 pm,68 °F,48 °F,49%,ESE,7 mph,0 mph,30.09 in,0.0 in,Fair,6,1,2021
6:50 pm,68 °F,48 °F,49%,ESE,5 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
7:50 pm,68 °F,48 °F,49%,ESE,7 mph,0 mph,30.12 in,0.0 in,Fair,6,1,2021
7:00 am,63 °F,41 °F,45%,SE,12 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
7:50 am,64 °F,41 °F,42%,SE,12 mph,0 mph,30.12 in,0.0 in,Fair,7,1,2021
8:50 am,66 °F,43 °F,43%,SE,10 mph,0 mph,30.12 in,0.0 in,Fair,7,1,2021
9:50 am,68 °F,43 °F,40%,SE,12 mph,0 mph,30.12 in,0.0 in,Fair,7,1,2021
10:50 am,70 °F,41 °F,35%,ESE,13 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
11:50 am,72 °F,41 °F,33%,E,13 mph,0 mph,30.06 in,0.0 in,Fair,7,1,2021
12:50 pm,73 °F,41 °F,31%,E,13 mph,0 mph,30.03 in,0.0 in,Fair,7,1,2021
1:50 pm,73 °F,39 °F,29%,E,12 mph,0 mph,30.03 in,0.0 in,Fair,7,1,2021
2:50 pm,75 °F,39 °F,27%,ESE,10 mph,0 mph,30.06 in,0.0 in,Fair,7,1,2021
3:50 pm,73 °F,39 °F,29%,E,8 mph,0 mph,30.03 in,0.0 in,Fair,7,1,2021
4:50 pm,72 °F,39 °F,31%,ENE,6 mph,0 mph,30.06 in,0.0 in,Fair,7,1,2021
5:50 pm,66 °F,43 °F,43%,VAR,1 mph,0 mph,30.06 in,0.0 in,Fair,7,1,2021
6:50 pm,63 °F,43 °F,48%,VAR,1 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
7:50 pm,61 °F,43 °F,52%,VAR,2 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
8:50 pm,59 °F,43 °F,55%,VAR,2 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
9:50 pm,61 °F,41 °F,48%,SSE,6 mph,0 mph,30.09 in,0.0 in,Fair,7,1,2021
7:00 am,61 °F,34 °F,36%,SE,14 mph,0 mph,30.09 in,0.0 in,Fair,8,1,2021
7:50 am,61 °F,34 °F,36%,SSE,13 mph,0 mph,30.09 in,0.0 in,Fair,8,1,2021
8:50 am,63 °F,34 °F,34%,SE,13 mph,0 mph,30.12 in,0.0 in,Fair,8,1,2021
9:50 am,66 °F,32 °F,28%,ESE,13 mph,0 mph,30.12 in,0.0 in,Fair,8,1,2021
10:50 am,68 °F,30 °F,24%,ESE,15 mph,0 mph,30.09 in,0.0 in,Fair,8,1,2021
11:50 am,70 °F,32 °F,25%,SE,15 mph,0 mph,30.06 in,0.0 in,Fair,8,1,2021
12:50 pm,72 °F,30 °F,22%,ESE,16 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
1:50 pm,72 °F,28 °F,20%,ESE,17 mph,0 mph,30.00 in,0.0 in,Fair,8,1,2021
2:50 pm,73 °F,30 °F,20%,ESE,14 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
3:50 pm,68 °F,32 °F,26%,ESE,10 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
4:50 pm,68 °F,32 °F,26%,VAR,2 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
5:50 pm,66 °F,50 °F,56%,VAR,3 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
6:50 pm,63 °F,36 °F,37%,VAR,3 mph,0 mph,30.03 in,0.0 in,Fair,8,1,2021
7:00 am,63 °F,28 °F,27%,SE,12 mph,0 mph,30.06 in,0.0 in,Fair,9,1,2021
7:50 am,61 °F,30 °F,31%,ESE,9 mph,0 mph,30.06 in,0.0 in,Fair,9,1,2021
8:50 am,64 °F,30 °F,28%,SE,14 mph,0 mph,30.09 in,0.0 in,Fair,9,1,2021
9:50 am,66 °F,30 °F,26%,SE,14 mph,0 mph,30.09 in,0.0 in,Fair,9,1,2021
10:50 am,70 °F,28 °F,21%,E,17 mph,0 mph,30.06 in,0.0 in,Fair,9,1,2021
11:50 am,70 °F,32 °F,25%,E,13 mph,0 mph,30.03 in,0.0 in,Fair,9,1,2021
12:50 pm,72 °F,32 °F,23%,E,17 mph,0 mph,30.00 in,0.0 in,Fair,9,1,2021
1:50 pm,73 °F,30 °F,20%,E,14 mph,0 mph,30.00 in,0.0 in,Fair,9,1,2021
2:50 pm,73 °F,32 °F,22%,E,12 mph,0 mph,30.00 in,0.0 in,Fair,9,1,2021
3:50 pm,73 °F,32 °F,22%,E,9 mph,0 mph,30.00 in,0.0 in,Fair,9,1,2021
4:50 pm,70 °F,34 °F,27%,SE,5 mph,0 mph,30.00 in,0.0 in,Fair,9,1,2021
5:50 pm,68 °F,34 °F,28%,SE,5 mph,0 mph,30.03 in,0.0 in,Fair,9,1,2021
6:50 pm,68 °F,30 °F,24%,SE,7 mph,0 mph,30.03 in,0.0 in,Fair,9,1,2021
7:50 pm,68 °F,30 °F,24%,S,6 mph,0 mph,30.06 in,0.0 in,Fair,9,1,2021
7:00 am,61 °F,30 °F,31%,SSE,10 mph,0 mph,30.12 in,0.0 in,Fair,10,1,2021
7:50 am,63 °F,32 °F,32%,S,9 mph,0 mph,30.12 in,0.0 in,Fair,10,1,2021
8:50 am,64 °F,34 °F,32%,SSE,10 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
9:50 am,66 °F,34 °F,30%,SE,12 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
10:50 am,68 °F,36 °F,30%,SE,10 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
11:50 am,70 °F,36 °F,28%,SE,9 mph,0 mph,30.12 in,0.0 in,Fair,10,1,2021
12:50 pm,72 °F,37 °F,29%,SE,8 mph,0 mph,30.09 in,0.0 in,Fair,10,1,2021
1:50 pm,73 °F,39 °F,29%,SE,7 mph,0 mph,30.09 in,0.0 in,Fair,10,1,2021
2:50 pm,70 °F,48 °F,46%,N,9 mph,0 mph,30.09 in,0.0 in,Fair,10,1,2021
3:50 pm,70 °F,50 °F,49%,N,9 mph,0 mph,30.09 in,0.0 in,Fair,10,1,2021
4:50 pm,68 °F,55 °F,64%,N,8 mph,0 mph,30.12 in,0.0 in,Fair,10,1,2021
5:50 pm,66 °F,55 °F,68%,VAR,3 mph,0 mph,30.12 in,0.0 in,Fair,10,1,2021
6:50 pm,64 °F,55 °F,73%,VAR,1 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
7:50 pm,63 °F,55 °F,77%,VAR,1 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
8:50 pm,61 °F,52 °F,72%,VAR,1 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
9:50 pm,57 °F,50 °F,77%,VAR,2 mph,0 mph,30.15 in,0.0 in,Fair,10,1,2021
7:00 am,59 °F,37 °F,45%,S,8 mph,0 mph,30.18 in,0.0 in,Fair,11,1,2021
7:50 am,59 °F,37 °F,45%,SSE,9 mph,0 mph,30.21 in,0.0 in,Fair,11,1,2021
8:50 am,64 °F,36 °F,34%,SSE,9 mph,0 mph,30.24 in,0.0 in,Fair,11,1,2021
9:50 am,66 °F,36 °F,32%,SSE,8 mph,0 mph,30.24 in,0.0 in,Fair,11,1,2021
10:50 am,70 °F,37 °F,31%,SE,8 mph,0 mph,30.21 in,0.0 in,Fair,11,1,2021
11:50 am,72 °F,37 °F,29%,ESE,10 mph,0 mph,30.18 in,0.0 in,Fair,11,1,2021
12:50 pm,73 °F,41 °F,31%,SE,9 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
1:50 pm,75 °F,43 °F,31%,SE,6 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
2:50 pm,75 °F,41 °F,29%,S,6 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
3:50 pm,75 °F,39 °F,27%,VAR,3 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
4:50 pm,68 °F,57 °F,68%,NNW,7 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
5:50 pm,66 °F,55 °F,68%,VAR,1 mph,0 mph,30.15 in,0.0 in,Fair,11,1,2021
6:50 pm,64 °F,52 °F,64%,VAR,2 mph,0 mph,30.18 in,0.0 in,Fair,11,1,2021
7:50 pm,61 °F,48 °F,63%,VAR,2 mph,0 mph,30.18 in,0.0 in,Fair,11,1,2021
7:06 am,59 °F,39 °F,48%,SSE,9 mph,0 mph,30.15 in,0.0 in,Fair,12,1,2021
7:50 am,59 °F,41 °F,51%,SSE,9 mph,0 mph,30.15 in,0.0 in,Fair,12,1,2021
8:50 am,64 °F,41 °F,42%,SSE,10 mph,0 mph,30.18 in,0.0 in,Fair,12,1,2021
9:50 am,68 °F,41 °F,37%,SE,10 mph,0 mph,30.18 in,0.0 in,Fair,12,1,2021
10:50 am,70 °F,45 °F,40%,ESE,9 mph,0 mph,30.15 in,0.0 in,Fair,12,1,2021
11:50 am,75 °F,45 °F,34%,SE,18 mph,0 mph,30.09 in,0.0 in,Fair,12,1,2021
12:50 pm,77 °F,43 °F,29%,SE,20 mph,0 mph,30.09 in,0.0 in,Fair,12,1,2021
1:50 pm,77 °F,45 °F,32%,SE,17 mph,0 mph,30.06 in,0.0 in,Fair,12,1,2021
2:50 pm,77 °F,45 °F,32%,ESE,13 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
3:50 pm,77 °F,46 °F,34%,SSE,7 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
4:50 pm,75 °F,46 °F,36%,SSE,7 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
5:50 pm,72 °F,46 °F,41%,SSE,6 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
6:50 pm,70 °F,46 °F,43%,SE,7 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
7:50 pm,68 °F,46 °F,46%,SSE,5 mph,0 mph,30.03 in,0.0 in,Fair,12,1,2021
7:00 am,63 °F,39 °F,42%,SE,15 mph,0 mph,29.91 in,0.0 in,Fair,13,1,2021
7:50 am,64 °F,39 °F,40%,SE,14 mph,0 mph,29.91 in,0.0 in,Fair,13,1,2021
8:50 am,63 °F,41 °F,45%,SE,14 mph,0 mph,29.91 in,0.0 in,Fair,13,1,2021
9:50 am,64 °F,41 °F,42%,ESE,14 mph,0 mph,29.88 in,0.0 in,Fair,13,1,2021
10:50 am,66 °F,43 °F,43%,SE,17 mph,0 mph,29.85 in,0.0 in,Fair,13,1,2021
11:50 am,68 °F,43 °F,40%,SE,17 mph,0 mph,29.82 in,0.0 in,Fair,13,1,2021
12:50 pm,68 °F,43 °F,40%,SE,15 mph,0 mph,29.79 in,0.0 in,Fair,13,1,2021
1:50 pm,70 °F,45 °F,40%,SE,14 mph,0 mph,29.76 in,0.0 in,Fair,13,1,2021
2:50 pm,70 °F,45 °F,40%,SE,14 mph,0 mph,29.76 in,0.0 in,Fair,13,1,2021
3:50 pm,70 °F,45 °F,40%,SE,13 mph,0 mph,29.73 in,0.0 in,Fair,13,1,2021
4:50 pm,70 °F,43 °F,38%,SSE,18 mph,0 mph,29.73 in,0.0 in,Fair,13,1,2021
5:50 pm,68 °F,45 °F,43%,SSE,13 mph,0 mph,29.73 in,0.0 in,Fair,13,1,2021
6:50 pm,72 °F,55 °F,57%,WSW,14 mph,0 mph,29.76 in,0.0 in,Fair,13,1,2021
7:50 pm,68 °F,54 °F,60%,W,15 mph,0 mph,29.76 in,0.0 in,Fair,13,1,2021
5:50 am,61 °F,52 °F,72%,S,8 mph,0 mph,29.76 in,0.0 in,Fair,14,1,2021
6:30 am,61 °F,46 °F,59%,S,5 mph,0 mph,29.76 in,0.0 in,Fair,14,1,2021
6:50 am,59 °F,52 °F,77%,S,5 mph,0 mph,29.76 in,0.0 in,Heavy Rain,14,1,2021
7:10 am,57 °F,54 °F,88%,W,9 mph,0 mph,29.76 in,0.0 in,Rain,14,1,2021
7:32 am,59 °F,52 °F,77%,SW,6 mph,0 mph,29.76 in,0.0 in,Light Rain,14,1,2021
7:50 am,59 °F,50 °F,72%,VAR,3 mph,0 mph,29.76 in,0.0 in,Fair,14,1,2021
8:50 am,59 °F,54 °F,82%,SSE,13 mph,0 mph,29.76 in,0.0 in,Partly Cloudy,14,1,2021
9:50 am,63 °F,52 °F,68%,SW,14 mph,0 mph,29.76 in,0.0 in,Fair,14,1,2021
10:50 am,61 °F,52 °F,72%,SSW,15 mph,0 mph,29.76 in,0.0 in,Light Rain,14,1,2021
11:50 am,63 °F,52 °F,68%,WSW,18 mph,30 mph,29.71 in,0.0 in,Light Rain,14,1,2021
12:27 pm,59 °F,52 °F,77%,SW,15 mph,0 mph,29.73 in,0.0 in,Rain Shower,14,1,2021
12:50 pm,59 °F,54 °F,82%,W,16 mph,0 mph,29.73 in,0.0 in,Fair,14,1,2021
1:08 pm,59 °F,54 °F,82%,WSW,13 mph,0 mph,29.71 in,0.0 in,Rain,14,1,2021
1:24 pm,59 °F,54 °F,82%,WSW,14 mph,0 mph,29.71 in,0.0 in,Heavy Rain,14,1,2021
1:50 pm,59 °F,54 °F,82%,WSW,10 mph,0 mph,29.71 in,0.0 in,Light Rain,14,1,2021
2:50 pm,59 °F,52 °F,77%,SW,13 mph,0 mph,29.71 in,0.0 in,Light Rain,14,1,2021
3:50 pm,59 °F,52 °F,77%,SW,13 mph,0 mph,29.71 in,0.0 in,Rain,14,1,2021
4:11 pm,59 °F,52 °F,77%,WSW,12 mph,0 mph,29.73 in,0.0 in,Partly Cloudy,14,1,2021
4:50 pm,57 °F,50 °F,77%,W,12 mph,0 mph,29.73 in,0.0 in,Light Rain,14,1,2021
5:23 pm,59 °F,52 °F,77%,W,10 mph,0 mph,29.76 in,0.0 in,Rain,14,1,2021
5:50 pm,57 °F,50 °F,77%,WSW,9 mph,0 mph,29.73 in,0.0 in,Light Rain,14,1,2021
6:50 pm,59 °F,52 °F,77%,WSW,6 mph,0 mph,29.76 in,0.0 in,Fair,14,1,2021
7:50 pm,59 °F,52 °F,77%,VAR,2 mph,0 mph,29.79 in,0.0 in,Partly Cloudy,14,1,2021
8:00 pm,59 °F,52 °F,77%,VAR,2 mph,0 mph,29.79 in,0.0 in,Rain,14,1,2021
8:50 pm,57 °F,48 °F,72%,NNE,6 mph,0 mph,29.79 in,0.0 in,Light Rain,14,1,2021
9:50 pm,57 °F,54 °F,88%,SSW,5 mph,0 mph,29.82 in,0.0 in,Rain,14,1,2021
7:00 am,63 °F,45 °F,52%,W,7 mph,0 mph,29.91 in,0.0 in,Partly Cloudy,15,1,2021
7:50 am,63 °F,45 °F,52%,W,9 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,15,1,2021
8:50 am,64 °F,45 °F,49%,W,7 mph,0 mph,29.97 in,0.0 in,Fair,15,1,2021
9:50 am,64 °F,43 °F,45%,W,5 mph,0 mph,29.97 in,0.0 in,Fair,15,1,2021
10:50 am,64 °F,46 °F,52%,SW,6 mph,0 mph,29.97 in,0.0 in,Fair,15,1,2021
11:50 am,66 °F,48 °F,52%,SW,8 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,15,1,2021
12:50 pm,64 °F,50 °F,59%,SSE,8 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,15,1,2021
1:50 pm,64 °F,50 °F,59%,S,6 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
2:50 pm,64 °F,52 °F,64%,S,8 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
3:50 pm,64 °F,52 °F,64%,S,5 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
4:50 pm,61 °F,52 °F,72%,SSE,8 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
5:50 pm,61 °F,50 °F,68%,SSE,8 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
6:50 pm,61 °F,50 °F,68%,SSE,9 mph,0 mph,29.94 in,0.0 in,Fair,15,1,2021
7:00 am,55 °F,48 °F,77%,ESE,10 mph,0 mph,29.88 in,0.0 in,Fair,16,1,2021
7:50 am,57 °F,48 °F,72%,SE,9 mph,0 mph,29.88 in,0.0 in,Fair,16,1,2021
8:50 am,57 °F,48 °F,72%,SE,10 mph,0 mph,29.88 in,0.0 in,Fair,16,1,2021
9:50 am,59 °F,48 °F,67%,SSE,10 mph,0 mph,29.88 in,0.0 in,Fair,16,1,2021
10:50 am,61 °F,50 °F,68%,SE,9 mph,0 mph,29.85 in,0.0 in,Fair,16,1,2021
11:50 am,66 °F,46 °F,49%,S,12 mph,24 mph,29.82 in,0.0 in,Fair,16,1,2021
12:50 pm,64 °F,48 °F,56%,SW,12 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
1:50 pm,64 °F,43 °F,45%,SW,14 mph,0 mph,29.79 in,0.0 in,Fair,16,1,2021
2:50 pm,64 °F,43 °F,45%,SW,12 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
3:50 pm,64 °F,43 °F,45%,SSW,8 mph,0 mph,29.82 in,0.0 in,Partly Cloudy,16,1,2021
4:50 pm,63 °F,43 °F,48%,SSW,8 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
5:50 pm,63 °F,43 °F,48%,S,7 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
6:50 pm,59 °F,43 °F,55%,SSE,8 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
7:50 pm,57 °F,45 °F,63%,SE,7 mph,0 mph,29.82 in,0.0 in,Fair,16,1,2021
7:00 am,59 °F,50 °F,72%,W,15 mph,26 mph,29.82 in,0.0 in,Heavy T-Storm,17,1,2021
7:10 am,55 °F,52 °F,88%,SW,13 mph,0 mph,29.79 in,0.0 in,Heavy T-Storm,17,1,2021
7:50 am,57 °F,52 °F,82%,SSW,7 mph,0 mph,29.76 in,0.0 in,Light Rain with Thunder,17,1,2021
8:22 am,59 °F,50 °F,72%,S,12 mph,0 mph,29.79 in,0.0 in,Partly Cloudy,17,1,2021
8:50 am,59 °F,50 °F,72%,S,14 mph,0 mph,29.79 in,0.0 in,Partly Cloudy,17,1,2021
9:07 am,59 °F,50 °F,72%,S,15 mph,28 mph,29.79 in,0.0 in,Rain,17,1,2021
